workload,policy,capacity,operations,threads,page_files,access_pattern,seed,repetition,dirty_resident_pages_at_start,elapsed_us,fetch,hit,miss,eviction,dirty_flush,free_frame_miss,clean_victim_selection,clean_replacement_commit,clean_replacement_cancel,dirty_victim_selection,dirty_requested_read,dirty_write_attempt,dirty_write_success,dirty_replacement_commit,dirty_replacement_cancel,physical_read_attempts,physical_read_successes,physical_read_failures,physical_write_attempts,physical_write_successes,physical_write_failures,bytes_read,bytes_written,flush_count,read_time_us,write_time_us,flush_time_us,logical_nonmutating_fetches,logical_dirty_mutations,physical_writes_per_dirty_commit,verified_pages,verification
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,11,32,31750,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,9152,8873,110,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,12,32,31677,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,9468,8793,104,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,13,32,31215,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,9394,8663,104,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,14,32,32097,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,9753,8628,105,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,15,32,31999,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,9440,9099,108,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,16,32,33114,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,9717,8840,104,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,17,32,32540,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,9578,9271,112,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,18,32,30299,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,8607,8554,111,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,19,32,32951,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,9787,9267,111,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,1,1,independent,6072051097480939855,20,32,32671,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,9647,9324,113,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,1,32,46705,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,12229,10717,153,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,2,32,42636,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,11136,9957,152,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,3,32,43931,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,11441,10493,153,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,4,32,52904,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,13323,11261,203,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,5,32,45260,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,11500,10066,153,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,6,32,46362,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,11782,10281,219,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,7,32,48942,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,12836,11129,171,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,8,32,46935,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,11932,10998,165,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,9,32,46729,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,11851,10438,168,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,10,32,43489,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,11321,9898,154,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,11,32,45637,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,11482,10044,168,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,12,32,43545,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,11127,9904,151,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,13,32,50324,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,12643,10843,175,0,4096,1.000,4128,pass
full-pool-dirty-read,fifo,32,4096,2,1,independent,6072051097480939855,14,32,46053,4096,0,4096,4096,4096,0,0,0,0,4096,4096,4096,4096,4096,0,4096,4096,0,4096,4096,0,16777216,16777216,4096,11994,10397,164,0,4096,1.000,4128,pass
